553,774
549,694
551,716
529,614
549,670
548,637
548,556
387,546
547,509
546,479
544,345
553,785
554,792
555,794
557,802
557,811
558,824
559,837
561,859
550,705
531,702
298,457
455,566
432,569
409,568
379,556
474,560
421,518
445,518
399,522
385,528
360,573
476,897
378,541
292,561
333,560
440,670
525,769
531,791
498,775
481,782
511,791
496,792
456,817
531,693
527,671
346,511
484,608
481,683
480,670
371,667
528,640
402,492
369,498
319,416
503,508
467,523
437,794
329,781
498,696
517,704
462,794
472,792
355,482
481,693
447,494
441,474
409,361
337,447
427,414
331,500
315,479
528,783
506,785
488,788
504,700
468,793
478,799
475,791
509,690
500,790
516,791
534,793
530,858
530,835
531,821
532,809
534,801
498,797
495,800
490,806
486,814
461,755
299,663
550,709
487,795
483,796
524,715
490,706
521,709
461,622
424,639
477,680
354,383
373,424
393,472
475,833
494,477
482,409
471,349
390,564
335,591
485,554
358,534
499,593
494,676
312,607
352,608
383,616
427,612
460,601
483,589
527,563
318,657
338,532
539,704
486,632
287,557
499,577
476,680
372,545
493,660
310,721
484,545
510,648
379,840
384,865
298,662
349,807
302,515
474,920
542,708
467,649
313,564
411,553
431,554
472,803
326,705
518,952
449,919
419,897
545,409
567,955
450,553
468,549
479,547
320,527
464,527
444,521
423,520
403,525
391,532
288,501
397,549
552,734
481,742
497,693
522,736
548,530
411,871
441,896
514,937
355,829
478,538
513,601
565,940
481,938
309,714
514,799
511,805
508,814
506,826
500,848
482,792
475,791
468,787
445,773
356,719
513,576
502,533
487,535
486,789
357,775
520,534
487,872
548,610
527,589
548,584
499,639
563,917
562,886
523,885
434,827
458,700
459,853
404,699
437,725
387,737
516,914
487,651
416,846
446,873
414,798
335,746
387,801
324,763
420,756
500,616
501,686
488,691
509,673
484,520
447,512
415,510
387,513
368,520
355,552
291,611
374,583
398,589
429,588
458,582
480,574
494,566
292,609
489,696
513,624
516,689
529,699
517,691
497,703
533,702
536,706
492,548
505,554
512,559
384,537
373,535
568,613
715,539
570,701
808,445
648,562
671,563
694,562
724,549
628,557
678,513
653,513
700,515
716,521
745,564
650,894
724,534
819,548
773,549
666,665
581,768
578,790
609,773
629,780
599,790
616,790
662,813
568,693
570,670
755,502
619,605
621,681
622,668
738,659
569,639
694,484
729,489
783,405
592,505
632,519
678,790
800,770
604,695
586,703
653,791
643,790
744,473
622,691
648,488
653,468
681,354
762,437
664,408
771,489
790,468
580,782
603,784
622,786
599,699
647,790
638,796
641,788
592,689
612,788
595,790
576,792
591,857
587,834
584,820
582,808
580,800
618,795
621,797
626,803
630,811
648,752
824,651
629,793
633,794
578,714
614,705
582,709
643,618
682,633
626,678
741,374
722,416
703,464
644,830
599,474
608,406
618,346
713,557
772,581
615,552
744,525
602,590
606,674
798,596
754,599
723,609
677,606
644,597
620,586
570,562
794,646
766,522
561,704
616,630
829,543
601,575
629,678
731,537
607,658
816,709
616,542
589,647
748,832
748,857
819,650
776,798
806,503
656,917
559,708
637,646
795,552
691,547
671,549
644,801
790,695
615,950
684,914
714,891
651,548
633,545
621,544
784,516
636,524
656,516
677,515
697,519
710,525
823,488
705,543
626,739
605,691
582,735
718,865
688,891
616,935
776,820
622,535
586,600
652,935
811,703
600,797
604,803
607,812
611,824
621,845
632,790
638,788
644,785
668,769
757,710
586,575
596,531
612,532
627,787
763,766
577,533
636,869
569,588
602,637
601,883
686,823
649,697
664,849
705,692
673,721
726,730
611,913
615,649
708,840
679,868
703,792
785,735
733,794
800,752
693,751
601,614
599,685
614,689
590,671
613,517
650,507
683,504
711,506
732,512
749,543
822,598
731,575
707,583
675,583
645,578
623,571
607,564
827,596
613,695
586,623
584,688
571,699
583,690
607,702
568,701
566,705
608,546
594,552
588,557
718,530
729,527
